Epoch,Mean Dice Score,DiceCortical,DiceTrabecular
0,"metatensor(0.7390, device='cuda:4')","metatensor(0.7120, device='cuda:4')","metatensor(0.7660, device='cuda:4')"
1,"metatensor(0.7658, device='cuda:4')","metatensor(0.7015, device='cuda:4')","metatensor(0.8301, device='cuda:4')"
1,"metatensor(0.7632, device='cuda:0')","metatensor(0.6917, device='cuda:0')","metatensor(0.8348, device='cuda:0')"
1,"metatensor(0.7576, device='cuda:1')","metatensor(0.6866, device='cuda:1')","metatensor(0.8286, device='cuda:1')"
1,"metatensor(0.7678, device='cuda:3')","metatensor(0.7023, device='cuda:3')","metatensor(0.8334, device='cuda:3')"
1,"metatensor(0.7484, device='cuda:2')","metatensor(0.6837, device='cuda:2')","metatensor(0.8132, device='cuda:2')"
2,"metatensor(0.7871, device='cuda:4')","metatensor(0.6780, device='cuda:4')","metatensor(0.8963, device='cuda:4')"
2,"metatensor(0.7694, device='cuda:1')","metatensor(0.6705, device='cuda:1')","metatensor(0.8683, device='cuda:1')"
2,"metatensor(0.7671, device='cuda:2')","metatensor(0.6637, device='cuda:2')","metatensor(0.8704, device='cuda:2')"
2,"metatensor(0.7929, device='cuda:3')","metatensor(0.6847, device='cuda:3')","metatensor(0.9010, device='cuda:3')"
2,"metatensor(0.7792, device='cuda:0')","metatensor(0.6701, device='cuda:0')","metatensor(0.8882, device='cuda:0')"
3,"metatensor(0.7762, device='cuda:1')","metatensor(0.6522, device='cuda:1')","metatensor(0.9002, device='cuda:1')"
3,"metatensor(0.7782, device='cuda:2')","metatensor(0.6621, device='cuda:2')","metatensor(0.8944, device='cuda:2')"
3,"metatensor(0.7935, device='cuda:4')","metatensor(0.6814, device='cuda:4')","metatensor(0.9056, device='cuda:4')"
3,"metatensor(0.7978, device='cuda:0')","metatensor(0.6915, device='cuda:0')","metatensor(0.9040, device='cuda:0')"
3,"metatensor(0.7928, device='cuda:3')","metatensor(0.6705, device='cuda:3')","metatensor(0.9151, device='cuda:3')"
4,"metatensor(0.6476, device='cuda:3')","metatensor(0.3768, device='cuda:3')","metatensor(0.9184, device='cuda:3')"
4,"metatensor(0.6654, device='cuda:0')","metatensor(0.4072, device='cuda:0')","metatensor(0.9236, device='cuda:0')"
4,"metatensor(0.6530, device='cuda:1')","metatensor(0.3809, device='cuda:1')","metatensor(0.9251, device='cuda:1')"
4,"metatensor(0.6545, device='cuda:2')","metatensor(0.3913, device='cuda:2')","metatensor(0.9177, device='cuda:2')"
4,"metatensor(0.6456, device='cuda:4')","metatensor(0.3804, device='cuda:4')","metatensor(0.9108, device='cuda:4')"
5,"metatensor(0.9579, device='cuda:2')","metatensor(0.9658, device='cuda:2')","metatensor(0.9500, device='cuda:2')"
5,"metatensor(0.9650, device='cuda:3')","metatensor(0.9736, device='cuda:3')","metatensor(0.9565, device='cuda:3')"
5,"metatensor(0.9626, device='cuda:4')","metatensor(0.9716, device='cuda:4')","metatensor(0.9536, device='cuda:4')"
5,"metatensor(0.9586, device='cuda:0')","metatensor(0.9735, device='cuda:0')","metatensor(0.9438, device='cuda:0')"
5,"metatensor(0.9594, device='cuda:1')","metatensor(0.9707, device='cuda:1')","metatensor(0.9481, device='cuda:1')"
6,"metatensor(0.9683, device='cuda:1')","metatensor(0.9821, device='cuda:1')","metatensor(0.9546, device='cuda:1')"
6,"metatensor(0.9712, device='cuda:3')","metatensor(0.9833, device='cuda:3')","metatensor(0.9592, device='cuda:3')"
6,"metatensor(0.9640, device='cuda:0')","metatensor(0.9771, device='cuda:0')","metatensor(0.9510, device='cuda:0')"
6,"metatensor(0.9673, device='cuda:2')","metatensor(0.9830, device='cuda:2')","metatensor(0.9516, device='cuda:2')"
6,"metatensor(0.9689, device='cuda:4')","metatensor(0.9798, device='cuda:4')","metatensor(0.9580, device='cuda:4')"
7,"metatensor(0.9689, device='cuda:0')","metatensor(0.9836, device='cuda:0')","metatensor(0.9541, device='cuda:0')"
7,"metatensor(0.9676, device='cuda:1')","metatensor(0.9816, device='cuda:1')","metatensor(0.9536, device='cuda:1')"
7,"metatensor(0.9618, device='cuda:4')","metatensor(0.9671, device='cuda:4')","metatensor(0.9566, device='cuda:4')"
7,"metatensor(0.9757, device='cuda:3')","metatensor(0.9894, device='cuda:3')","metatensor(0.9621, device='cuda:3')"
7,"metatensor(0.9666, device='cuda:2')","metatensor(0.9767, device='cuda:2')","metatensor(0.9565, device='cuda:2')"
8,"metatensor(0.9765, device='cuda:3')","metatensor(0.9881, device='cuda:3')","metatensor(0.9648, device='cuda:3')"
8,"metatensor(0.9749, device='cuda:2')","metatensor(0.9896, device='cuda:2')","metatensor(0.9603, device='cuda:2')"
8,"metatensor(0.9695, device='cuda:4')","metatensor(0.9786, device='cuda:4')","metatensor(0.9605, device='cuda:4')"
8,"metatensor(0.9758, device='cuda:0')","metatensor(0.9889, device='cuda:0')","metatensor(0.9626, device='cuda:0')"
8,"metatensor(0.9713, device='cuda:1')","metatensor(0.9828, device='cuda:1')","metatensor(0.9597, device='cuda:1')"
9,"metatensor(0.9562, device='cuda:4')","metatensor(0.9478, device='cuda:4')","metatensor(0.9646, device='cuda:4')"
9,"metatensor(0.9619, device='cuda:2')","metatensor(0.9637, device='cuda:2')","metatensor(0.9602, device='cuda:2')"
9,"metatensor(0.9550, device='cuda:0')","metatensor(0.9517, device='cuda:0')","metatensor(0.9583, device='cuda:0')"
9,"metatensor(0.9592, device='cuda:1')","metatensor(0.9608, device='cuda:1')","metatensor(0.9575, device='cuda:1')"
9,"metatensor(0.9601, device='cuda:3')","metatensor(0.9531, device='cuda:3')","metatensor(0.9671, device='cuda:3')"
10,"metatensor(0.9704, device='cuda:1')","metatensor(0.9877, device='cuda:1')","metatensor(0.9531, device='cuda:1')"
10,"metatensor(0.9709, device='cuda:2')","metatensor(0.9872, device='cuda:2')","metatensor(0.9546, device='cuda:2')"
10,"metatensor(0.9704, device='cuda:0')","metatensor(0.9867, device='cuda:0')","metatensor(0.9542, device='cuda:0')"
10,"metatensor(0.9733, device='cuda:4')","metatensor(0.9881, device='cuda:4')","metatensor(0.9585, device='cuda:4')"
10,"metatensor(0.9772, device='cuda:3')","metatensor(0.9910, device='cuda:3')","metatensor(0.9633, device='cuda:3')"
11,"metatensor(0.9732, device='cuda:4')","metatensor(0.9859, device='cuda:4')","metatensor(0.9605, device='cuda:4')"
11,"metatensor(0.9691, device='cuda:0')","metatensor(0.9802, device='cuda:0')","metatensor(0.9581, device='cuda:0')"
11,"metatensor(0.9745, device='cuda:3')","metatensor(0.9850, device='cuda:3')","metatensor(0.9640, device='cuda:3')"
11,"metatensor(0.9692, device='cuda:2')","metatensor(0.9778, device='cuda:2')","metatensor(0.9605, device='cuda:2')"
11,"metatensor(0.9684, device='cuda:1')","metatensor(0.9832, device='cuda:1')","metatensor(0.9535, device='cuda:1')"
12,"metatensor(0.9783, device='cuda:3')","metatensor(0.9873, device='cuda:3')","metatensor(0.9692, device='cuda:3')"
12,"metatensor(0.9760, device='cuda:4')","metatensor(0.9830, device='cuda:4')","metatensor(0.9689, device='cuda:4')"
12,"metatensor(0.9771, device='cuda:1')","metatensor(0.9859, device='cuda:1')","metatensor(0.9683, device='cuda:1')"
12,"metatensor(0.9728, device='cuda:0')","metatensor(0.9814, device='cuda:0')","metatensor(0.9642, device='cuda:0')"
12,"metatensor(0.9756, device='cuda:2')","metatensor(0.9863, device='cuda:2')","metatensor(0.9650, device='cuda:2')"
13,"metatensor(0.9775, device='cuda:2')","metatensor(0.9903, device='cuda:2')","metatensor(0.9646, device='cuda:2')"
13,"metatensor(0.9769, device='cuda:4')","metatensor(0.9879, device='cuda:4')","metatensor(0.9659, device='cuda:4')"
13,"metatensor(0.9802, device='cuda:3')","metatensor(0.9895, device='cuda:3')","metatensor(0.9709, device='cuda:3')"
13,"metatensor(0.9748, device='cuda:0')","metatensor(0.9846, device='cuda:0')","metatensor(0.9651, device='cuda:0')"
13,"metatensor(0.9773, device='cuda:1')","metatensor(0.9890, device='cuda:1')","metatensor(0.9655, device='cuda:1')"
14,"metatensor(0.9522, device='cuda:2')","metatensor(0.9468, device='cuda:2')","metatensor(0.9576, device='cuda:2')"
14,"metatensor(0.9527, device='cuda:1')","metatensor(0.9400, device='cuda:1')","metatensor(0.9653, device='cuda:1')"
14,"metatensor(0.9657, device='cuda:3')","metatensor(0.9608, device='cuda:3')","metatensor(0.9705, device='cuda:3')"
14,"metatensor(0.9691, device='cuda:4')","metatensor(0.9705, device='cuda:4')","metatensor(0.9677, device='cuda:4')"
14,"metatensor(0.9547, device='cuda:0')","metatensor(0.9512, device='cuda:0')","metatensor(0.9582, device='cuda:0')"
15,"metatensor(0.9760, device='cuda:0')","metatensor(0.9868, device='cuda:0')","metatensor(0.9653, device='cuda:0')"
15,"metatensor(0.9728, device='cuda:1')","metatensor(0.9854, device='cuda:1')","metatensor(0.9602, device='cuda:1')"
15,"metatensor(0.9763, device='cuda:2')","metatensor(0.9888, device='cuda:2')","metatensor(0.9638, device='cuda:2')"
15,"metatensor(0.9767, device='cuda:4')","metatensor(0.9877, device='cuda:4')","metatensor(0.9657, device='cuda:4')"
15,"metatensor(0.9803, device='cuda:3')","metatensor(0.9915, device='cuda:3')","metatensor(0.9692, device='cuda:3')"
16,"metatensor(0.9814, device='cuda:3')","metatensor(0.9925, device='cuda:3')","metatensor(0.9704, device='cuda:3')"
16,"metatensor(0.9771, device='cuda:0')","metatensor(0.9875, device='cuda:0')","metatensor(0.9668, device='cuda:0')"
16,"metatensor(0.9776, device='cuda:2')","metatensor(0.9886, device='cuda:2')","metatensor(0.9666, device='cuda:2')"
16,"metatensor(0.9764, device='cuda:1')","metatensor(0.9880, device='cuda:1')","metatensor(0.9649, device='cuda:1')"
16,"metatensor(0.9791, device='cuda:4')","metatensor(0.9895, device='cuda:4')","metatensor(0.9688, device='cuda:4')"
17,"metatensor(0.9809, device='cuda:4')","metatensor(0.9899, device='cuda:4')","metatensor(0.9719, device='cuda:4')"
17,"metatensor(0.9775, device='cuda:2')","metatensor(0.9884, device='cuda:2')","metatensor(0.9666, device='cuda:2')"
17,"metatensor(0.9768, device='cuda:1')","metatensor(0.9855, device='cuda:1')","metatensor(0.9681, device='cuda:1')"
17,"metatensor(0.9746, device='cuda:0')","metatensor(0.9850, device='cuda:0')","metatensor(0.9641, device='cuda:0')"
17,"metatensor(0.9784, device='cuda:3')","metatensor(0.9885, device='cuda:3')","metatensor(0.9682, device='cuda:3')"
18,"metatensor(0.9741, device='cuda:0')","metatensor(0.9849, device='cuda:0')","metatensor(0.9632, device='cuda:0')"
18,"metatensor(0.9806, device='cuda:3')","metatensor(0.9925, device='cuda:3')","metatensor(0.9687, device='cuda:3')"
18,"metatensor(0.9779, device='cuda:4')","metatensor(0.9895, device='cuda:4')","metatensor(0.9662, device='cuda:4')"
18,"metatensor(0.9769, device='cuda:2')","metatensor(0.9903, device='cuda:2')","metatensor(0.9635, device='cuda:2')"
18,"metatensor(0.9769, device='cuda:1')","metatensor(0.9880, device='cuda:1')","metatensor(0.9658, device='cuda:1')"
19,"metatensor(0.9803, device='cuda:4')","metatensor(0.9880, device='cuda:4')","metatensor(0.9725, device='cuda:4')"
19,"metatensor(0.9812, device='cuda:3')","metatensor(0.9896, device='cuda:3')","metatensor(0.9728, device='cuda:3')"
19,"metatensor(0.9787, device='cuda:1')","metatensor(0.9895, device='cuda:1')","metatensor(0.9679, device='cuda:1')"
19,"metatensor(0.9786, device='cuda:0')","metatensor(0.9894, device='cuda:0')","metatensor(0.9678, device='cuda:0')"
19,"metatensor(0.9807, device='cuda:2')","metatensor(0.9913, device='cuda:2')","metatensor(0.9702, device='cuda:2')"
20,"metatensor(0.9808, device='cuda:3')","metatensor(0.9907, device='cuda:3')","metatensor(0.9710, device='cuda:3')"
20,"metatensor(0.9799, device='cuda:1')","metatensor(0.9896, device='cuda:1')","metatensor(0.9702, device='cuda:1')"
20,"metatensor(0.9771, device='cuda:2')","metatensor(0.9898, device='cuda:2')","metatensor(0.9645, device='cuda:2')"
20,"metatensor(0.9810, device='cuda:4')","metatensor(0.9892, device='cuda:4')","metatensor(0.9728, device='cuda:4')"
20,"metatensor(0.9739, device='cuda:0')","metatensor(0.9846, device='cuda:0')","metatensor(0.9632, device='cuda:0')"
21,"metatensor(0.9747, device='cuda:0')","metatensor(0.9830, device='cuda:0')","metatensor(0.9665, device='cuda:0')"
21,"metatensor(0.9797, device='cuda:2')","metatensor(0.9889, device='cuda:2')","metatensor(0.9705, device='cuda:2')"
21,"metatensor(0.9805, device='cuda:1')","metatensor(0.9903, device='cuda:1')","metatensor(0.9707, device='cuda:1')"
21,"metatensor(0.9804, device='cuda:3')","metatensor(0.9886, device='cuda:3')","metatensor(0.9722, device='cuda:3')"
21,"metatensor(0.9823, device='cuda:4')","metatensor(0.9902, device='cuda:4')","metatensor(0.9745, device='cuda:4')"
22,"metatensor(0.9812, device='cuda:4')","metatensor(0.9877, device='cuda:4')","metatensor(0.9746, device='cuda:4')"
22,"metatensor(0.9784, device='cuda:3')","metatensor(0.9831, device='cuda:3')","metatensor(0.9737, device='cuda:3')"
22,"metatensor(0.9800, device='cuda:1')","metatensor(0.9895, device='cuda:1')","metatensor(0.9705, device='cuda:1')"
22,"metatensor(0.9765, device='cuda:0')","metatensor(0.9861, device='cuda:0')","metatensor(0.9669, device='cuda:0')"
22,"metatensor(0.9796, device='cuda:2')","metatensor(0.9890, device='cuda:2')","metatensor(0.9702, device='cuda:2')"
23,"metatensor(0.9794, device='cuda:0')","metatensor(0.9899, device='cuda:0')","metatensor(0.9690, device='cuda:0')"
23,"metatensor(0.9814, device='cuda:3')","metatensor(0.9894, device='cuda:3')","metatensor(0.9735, device='cuda:3')"
23,"metatensor(0.9790, device='cuda:2')","metatensor(0.9893, device='cuda:2')","metatensor(0.9686, device='cuda:2')"
23,"metatensor(0.9794, device='cuda:1')","metatensor(0.9898, device='cuda:1')","metatensor(0.9689, device='cuda:1')"
23,"metatensor(0.9811, device='cuda:4')","metatensor(0.9875, device='cuda:4')","metatensor(0.9747, device='cuda:4')"
24,"metatensor(0.9814, device='cuda:0')","metatensor(0.9905, device='cuda:0')","metatensor(0.9723, device='cuda:0')"
